Object,Time,Focus On/Off
Capsule,5.699629,1
Capsule,5.710693,0
Capsule,5.832955,1
Capsule,5.844005,0
Sphere,5.932873,1
Sphere,5.955155,0
Sphere,5.96611,1
Sphere,5.977116,0
Sphere,5.988556,1
Sphere,6.021693,0
Sphere,6.077112,1
Sphere,6.422297,0
Cylinder,6.44379,1
Cylinder,6.454693,0
Cylinder,6.466077,1
Cylinder,7.143582,0
Cube,7.154712,1
Cube,7.632209,0
Capsule,7.65437,1
Capsule,8.199154,0
Cylinder,8.243554,1
Cylinder,8.920545,0
Sphere,8.942611,1
Sphere,9.58687,0
Capsule,9.609221,1
Capsule,9.631703,0
Cube,15.62889,1
Cube,15.64016,0
Cube,15.65146,1
Cube,15.86215,0
Capsule,15.87343,1
Capsule,16.31744,0
Cube,16.32899,1
Cube,16.70495,0
Sphere,16.7272,1
Sphere,17.17253,0
Cylinder,17.19495,1
Cylinder,17.7057,0
Cube,17.71687,1
Cube,18.10541,0
Sphere,18.13909,1
Sphere,18.21678,0
Sphere,18.34986,1
Sphere,18.43887,0
Sphere,18.45003,1
Sphere,19.33838,0
