Time,X,Y,Z
4.135903,0.1950824,0.6017154,0.3816244
4.14989,0.117467,0.6956155,0.4454025
4.158239,0.09496504,0.6956155,0.4751333
4.168545,0.06980985,0.6956155,0.4903166
4.179732,0.0657019,0.6956155,0.4900402
4.190762,0.07219261,0.6956155,0.4807217
4.201876,0.0705061,0.6956155,0.4846348
4.213058,0.08179891,0.6956155,0.4948521
4.224446,0.1045744,0.6956155,0.4571257
4.23511,0.1030368,0.6956155,0.4663464
4.246555,0.08416021,0.6956155,0.4727011
4.257591,0.07769436,0.6956155,0.4624666
4.268938,0.09308213,0.6956155,0.4777595
4.279937,0.08845812,0.6956155,0.4566706
4.293157,0.08903837,0.6956155,0.4706661
4.302353,0.09233975,0.6956155,0.478975
4.313307,0.08859885,0.6956155,0.4567829
4.324356,0.1043645,0.6956155,0.4684938
4.335225,0.07334912,0.6956155,0.4998291
4.346536,0.09919631,0.6017154,0.5970734
4.357604,0.08237439,0.6017154,0.6323884
4.368418,0.09853232,0.6017154,0.6540543
4.379775,0.07916045,0.6017154,0.6610605
4.390957,0.09718961,0.6017154,0.6034389
4.402151,0.1221777,0.6017154,0.6904629
4.413201,0.09366846,0.6017154,0.6190523
4.424634,0.03515917,0.6956155,0.5125314
4.435461,0.04008377,0.6956155,0.5205193
4.443927,0.09987092,0.6017154,0.5867062
4.455018,0.09720981,0.6017154,0.6043137
4.46625,0.05546945,0.6956155,0.5225315
4.478132,0.04690897,0.6956155,0.4969636
4.488652,0.04566258,0.6956155,0.5069945
4.501905,0.04624009,0.6956155,0.4916615
4.510242,0.03258026,0.6956155,0.499299
4.521598,0.0461759,0.6956155,0.4903807
4.532575,0.04038388,0.6956155,0.4973496
4.543789,0.04250884,0.6956155,0.4981958
4.557546,0.05343902,0.6956155,0.5057329
4.565824,0.04622817,0.6956155,0.5014641
4.576989,0.04748744,0.6956155,0.4864753
4.588038,0.03335798,0.6956155,0.4814653
4.599217,0.04512233,0.6956155,0.4845436
4.610464,0.03507632,0.6956155,0.4976524
4.62208,0.02840984,0.6956155,0.5110507
4.632705,0.03184038,0.6956155,0.5116544
4.643642,0.03708243,0.6956155,0.5033023
4.655176,0.04678315,0.6956155,0.4828756
4.665769,0.06139046,0.6956155,0.4922166
4.676828,0.06458551,0.6956155,0.4867008
4.688338,0.07301706,0.6956155,0.4920167
4.699126,0.06780571,0.6956155,0.4921726
4.710408,0.06596613,0.6956155,0.5031039
4.733138,0.06405562,0.6956155,0.4977418
4.739729,0.06640834,0.6956155,0.4951369
4.745679,0.06593865,0.6956155,0.4952239
4.753281,0.06894594,0.6956155,0.4921433
4.764542,0.07119632,0.6956155,0.4870477
4.775799,0.07082665,0.6956155,0.4838424
4.786553,0.07104176,0.6956155,0.4833843
4.798009,0.07278103,0.6956155,0.4814181
4.809046,0.07486314,0.6956155,0.4808971
4.820353,0.07585931,0.6956155,0.4772281
4.831735,0.0752703,0.6956155,0.4754293
4.842449,0.07544214,0.6956155,0.4752583
4.853805,0.08004493,0.6956155,0.4764813
4.885117,0.07761753,0.6956155,0.4708578
4.896555,0.07619697,0.6956155,0.4726477
4.904513,0.07624042,0.6956155,0.471438
4.911202,0.07653886,0.6956155,0.4711228
4.924691,0.07671648,0.6956155,0.4705503
4.941314,0.07532829,0.6956155,0.4691115
4.95329,0.07530808,0.6956155,0.4681782
4.97744,0.07385302,0.6956155,0.4659744
4.990495,0.07361692,0.6956155,0.4655195
4.998356,0.07253516,0.6956155,0.4682193
5.009474,0.06928086,0.6956155,0.4685306
5.019929,0.06768388,0.6956155,0.4701542
5.031631,0.06929058,0.6956155,0.4722754
5.042355,0.07153499,0.6956155,0.4740433
5.053664,0.0707019,0.6956155,0.4742088
5.064299,0.1191317,0.6956155,0.5212299
5.075542,0.2483345,0.6017154,0.636252
5.086527,0.2285959,0.659641,0.6328757
5.097727,0.2533461,0.7204075,0.6701147
5.118116,0.2681022,0.7232824,0.6717109
5.130067,0.2768288,0.7268338,0.685086
5.136504,0.2777905,0.7266984,0.6846998
5.143517,0.2782844,0.7224863,0.6700346
5.15321,0.2665236,0.7244185,0.6753722
5.164273,0.254494,0.7262421,0.6967665
5.175498,0.25577,0.7264013,0.6942886
5.186713,0.2565622,0.7261407,0.6896338
5.209567,0.2497503,0.7250482,0.6976994
5.2167,0.2454681,0.7236376,0.6962692
5.223441,0.2451073,0.7234265,0.6945913
5.230537,0.2449588,0.7232002,0.692337
5.242122,0.2474241,0.7238723,0.6906157
5.252933,0.2494223,0.7244347,0.6901207
5.263918,0.2605496,0.7267765,0.6892245
5.275321,0.2570736,0.7263034,0.6901752
5.286166,0.255719,0.7263687,0.6938541
5.29737,0.251659,0.7251578,0.6909513
5.308562,0.2505318,0.7250111,0.6926441
5.319199,0.2512065,0.7252383,0.6931496
5.330441,0.2530415,0.7258168,0.6947556
5.341442,0.2534444,0.7259189,0.6948497
5.352391,0.2536607,0.726046,0.696592
5.363894,0.2541215,0.7261722,0.6973817
5.375051,0.2516351,0.7255487,0.6969055
5.385904,0.2513474,0.7254744,0.6970415
5.397236,0.2518602,0.7256269,0.6977044
5.408504,0.2523118,0.7257369,0.6973702
5.419137,0.2539857,0.7261485,0.697656
5.430634,0.2572597,0.7268416,0.6981488
5.441446,0.2568846,0.7267408,0.696814
5.453337,0.2520472,0.7254418,0.692943
5.463479,0.2987188,0.6017154,0.8728474
5.474991,0.2167333,0.6017154,0.9089773
5.486057,0.1152549,0.6995187,0.8768184
5.497015,0.07184225,0.717348,0.9252476
5.508249,0.078861,0.7186836,0.9152064
5.519362,0.0759902,0.7179276,0.9220794
5.530432,0.08352542,0.7164673,0.8901618
5.54288,0.08439809,0.7171278,0.8939476
5.552376,0.07889378,0.7179861,0.8954287
5.56356,0.07707655,0.7189566,0.9130692
5.57462,0.07628155,0.7190517,0.9120514
