Object,Time,Focus On/Off
Table,4.135903,1
Table,4.14989,0
Cube,4.14989,1
Cube,4.346536,0
Table,4.346536,1
Table,4.424634,0
Cube,4.424634,1
Cube,4.443927,0
Table,4.443927,1
Table,4.46625,0
Cube,4.46625,1
Cube,5.075542,0
Table,5.075542,1
Table,5.086527,0
Cylinder,5.086527,1
Cylinder,5.463479,0
Table,5.463479,1
Table,5.486057,0
Sphere,5.486057,1
Sphere,5.979592,0
Table,5.979592,1
Table,6.001697,0
Capsule,6.001697,1
Capsule,6.401829,0
Table,6.401829,1
Table,6.412761,0
Sphere,6.412761,1
Sphere,6.868367,0
Table,6.868367,1
Table,6.879364,0
Cylinder,6.879364,1
Cylinder,7.379855,0
Table,7.379855,1
Table,7.390446,0
Cube,7.390446,1
Cube,7.801322,0
Table,7.801322,1
Table,7.823462,0
Capsule,7.823462,1
Capsule,8.045517,0
Table,8.045517,1
Table,8.057006,0
Sphere,8.057006,1
Sphere,8.723137,0
Table,8.723137,1
Table,8.745136,0
Capsule,8.745136,1
Capsule,9.089558,0
Table,9.089558,1
Table,9.111807,0
Cube,9.111807,1
Cube,9.400585,0
Table,9.400585,1
Table,9.412152,0
Cylinder,9.412152,1
Cylinder,9.845217,0
Table,9.845217,1
Table,9.878203,0
