Time, Object, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, ColX, ColY, ColZ, Trial, ViewNo, ViewPos, Rot?, ObjShift?, ObjShifted, Q1, Q2, MoveCode 
15.64452,Table,0.1930026,0.5372155,0.7970964,0.8,0.06538646,0.8,0.2738864,0.6026019,1.037268,1,1,A,False,True,,,,1
15.65577,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1841549,0.7080396,0.878201,1,1,A,False,True,,,,1
15.66713,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1682487,0.7023332,0.8303341,1,1,A,False,True,,,,1
15.67798,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1487272,0.6825083,0.8174105,1,1,A,False,True,,,,1
15.68919,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1623476,0.6884725,0.8109807,1,1,A,False,True,,,,1
15.7005,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1646749,0.6881101,0.8087695,1,1,A,False,True,,,,1
15.71173,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1617478,0.6878208,0.8106574,1,1,A,False,True,,,,1
15.72221,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1663971,0.6842316,0.8034317,1,1,A,False,True,,,,1
15.73388,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1686182,0.6811471,0.7993216,1,1,A,False,True,,,,1
15.74478,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1639779,0.6781335,0.7994425,1,1,A,False,True,,,,1
15.75566,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.157568,0.6857529,0.8117618,1,1,A,False,True,,,,1
15.76691,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1559918,0.6867599,0.8145741,1,1,A,False,True,,,,1
15.77811,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1468847,0.6785723,0.8149798,1,1,A,False,True,,,,1
15.78897,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1413622,0.6742634,0.8177735,1,1,A,False,True,,,,1
15.80008,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.137488,0.6610167,0.811976,1,1,A,False,True,,,,1
15.8114,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1379988,0.6649861,0.8140873,1,1,A,False,True,,,,1
15.82252,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1527672,0.6794511,0.8093561,1,1,A,False,True,,,,1
15.83382,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1630217,0.6793038,0.8010119,1,1,A,False,True,,,,1
15.84471,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1674215,0.6753662,0.795413,1,1,A,False,True,,,,1
15.85651,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1688767,0.6819658,0.7999039,1,1,A,False,True,,,,1
15.86744,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1662725,0.6809179,0.8004243,1,1,A,False,True,,,,1
15.87863,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1639197,0.6789801,0.8001719,1,1,A,False,True,,,,1
15.89,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1642967,0.6768938,0.7982646,1,1,A,False,True,,,,1
15.90116,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1645641,0.6744479,0.7963043,1,1,A,False,True,,,,1
15.91261,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1623936,0.674204,0.7974203,1,1,A,False,True,,,,1
15.92349,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1620787,0.6732333,0.7969233,1,1,A,False,True,,,,1
15.93501,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1623324,0.6711458,0.7953877,1,1,A,False,True,,,,1
15.94599,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.162542,0.6681468,0.7934427,1,1,A,False,True,,,,1
15.95723,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1621984,0.6661167,0.7925237,1,1,A,False,True,,,,1
15.96838,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1617692,0.6643305,0.7918476,1,1,A,False,True,,,,1
15.97976,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1637078,0.6646507,0.790932,1,1,A,False,True,,,,1
15.99058,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1654857,0.6628748,0.7891778,1,1,A,False,True,,,,1
16.00163,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1654792,0.6602827,0.7880589,1,1,A,False,True,,,,1
16.01322,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1682708,0.6619936,0.7874891,1,1,A,False,True,,,,1
16.02405,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1666455,0.6580085,0.7866244,1,1,A,False,True,,,,1
16.03494,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1696437,0.6569341,0.7849514,1,1,A,False,True,,,,1
16.04618,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.16643,0.661307,0.7880333,1,1,A,False,True,,,,1
16.05768,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1656117,0.6581725,0.7871708,1,1,A,False,True,,,,1
16.06833,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1675498,0.6575496,0.7860526,1,1,A,False,True,,,,1
16.07957,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1709493,0.6645776,0.7875287,1,1,A,False,True,,,,1
16.09108,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.174103,0.6616296,0.7850587,1,1,A,False,True,,,,1
16.10175,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.174862,0.6660627,0.7867888,1,1,A,False,True,,,,1
16.11264,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.169875,0.6769426,0.7953467,1,1,A,False,True,,,,1
16.12384,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1728936,0.6834743,0.7992906,1,1,A,False,True,,,,1
16.135,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1708366,0.6884435,0.8052847,1,1,A,False,True,,,,1
16.14631,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1779071,0.6926643,0.806814,1,1,A,False,True,,,,1
16.15719,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.176195,0.6884832,0.8027596,1,1,A,False,True,,,,1
16.16858,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1764292,0.6913319,0.8058415,1,1,A,False,True,,,,1
16.17936,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1728847,0.691932,0.8082986,1,1,A,False,True,,,,1
16.19082,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1734046,0.6906089,0.8064126,1,1,A,False,True,,,,1
16.20146,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1790147,0.6919855,0.8055538,1,1,A,False,True,,,,1
16.21309,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1789706,0.6891713,0.8024067,1,1,A,False,True,,,,1
16.22379,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1811606,0.6881338,0.8005955,1,1,A,False,True,,,,1
16.23489,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1808656,0.6892567,0.8018494,1,1,A,False,True,,,,1
16.24589,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1762033,0.6881099,0.8023628,1,1,A,False,True,,,,1
16.25702,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1766028,0.6871042,0.8011734,1,1,A,False,True,,,,1
16.26851,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1785441,0.6876979,0.8010377,1,1,A,False,True,,,,1
16.27942,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1823623,0.6926819,0.8052089,1,1,A,False,True,,,,1
16.29053,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1840145,0.6918409,0.8037417,1,1,A,False,True,,,,1
16.30164,Hamburger,0.1982355,0.602602,0.8555952,0.5,4.588106,0.5,0.1838124,0.6907817,0.8026104,1,1,A,False,True,,,,1
16.31264,Table,0.1930026,0.5372155,0.7970964,0.8,0.06538646,0.8,0.1189774,0.6026019,0.8104557,1,1,A,False,True,,,,1
16.3239,Table,0.1930026,0.5372155,0.7970964,0.8,0.06538646,0.8,0.04113889,0.6026019,0.7870132,1,1,A,False,True,,,,1
16.33533,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.0184772,0.7002572,0.6718257,1,1,A,False,True,,,,1
16.34615,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03002343,0.6831433,0.6469051,1,1,A,False,True,,,,1
16.35725,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03196126,0.684532,0.647466,1,1,A,False,True,,,,1
16.36861,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03094834,0.6843745,0.6476136,1,1,A,False,True,,,,1
16.37933,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03093317,0.6883796,0.6510383,1,1,A,False,True,,,,1
16.39072,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03577459,0.6976211,0.6596648,1,1,A,False,True,,,,1
16.40174,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.04201844,0.704361,0.6682733,1,1,A,False,True,,,,1
16.41299,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.0383195,0.702338,0.6656637,1,1,A,False,True,,,,1
16.42396,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03925207,0.7031747,0.6667871,1,1,A,False,True,,,,1
16.4352,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03837055,0.7036808,0.6678057,1,1,A,False,True,,,,1
16.44606,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03687453,0.7030238,0.6670945,1,1,A,False,True,,,,1
16.45726,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03770041,0.7030759,0.6669702,1,1,A,False,True,,,,1
16.4683,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03769183,0.7024537,0.6659868,1,1,A,False,True,,,,1
16.47964,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03649002,0.7004445,0.6632751,1,1,A,False,True,,,,1
16.49057,IceCream,-0.04772377,0.602602,0.7087672,0.5,5.046917,0.5,-0.03694755,0.7003872,0.6630849,1,1,A,False,True,,,,1
